-6.93241706845 3.61548762387 0.5   True 64.0 0.0 419.985261617 56.0349255035 "2012-10-23 07:16:00"
-4.34291560712   55.56 1.25 False 55.5 2.0 750.728799361  "2013-10-02 08:22:00"
-3.65478773068   57.03 -0.43 False 57.0 0.0 429.110895898  "2013-10-02 08:22:00"
-4.34291560712   57.02 0.72 False 57.0 1.0 279.078771873  "2013-10-02 08:22:00"
-4.34291560712   58.02 0.71 False 58.0 1.0 288.528942427  "2013-10-02 08:22:00"
-4.34291560712   58.52 0.7 False 58.5 1.0 301.810065461  "2013-10-02 08:22:00"
-8.95796182208 5.1492762016 1.5   True 56.5 1.0 348.261571723 43.4165300348 "2013-10-02 08:24:00"
-7.10372106825 3.76360942473 1.5   True 57.5 1.0 269.99292724 26.4357776317 "2013-10-02 08:24:00"
-8.63958803322 3.63336859102 0.5   True 56.5 0.0 406.456418436 61.2549814488 "2013-10-02 08:24:00"
-8.27048586018 2.48492742942 0.5   True 57.0 0.0 485.933644016 61.2971926343 "2013-10-02 08:24:00"
-4.28185140111 2.74688743733 1.0   True 57.5 0.0 261.231732207 18.7744705366 "2013-10-02 08:24:00"
-7.24348912095 6.07011508349 1.5   True 58.5 1.0 270.900815756 42.6756039015 "2013-10-02 08:24:00"
-8.63958803322   54.01 -1.08 False 54.0 -1.0 76.0749907121  "2013-10-02 08:24:00"
-8.95796182208   55.56 1.64 False 55.5 2.0 366.607516642  "2013-10-02 08:24:00"
-8.95796182208   56.61 1.29 False 56.5 2.0 721.130585772  "2013-10-02 08:24:00"
-8.27048586018   57.04 -1.28 False 57.0 -1.0 280.60030615  "2013-10-02 08:24:00"
-8.03084144516   57.06 0.59 False 57.0 1.0 413.7929217  "2013-10-02 08:24:00"
-7.1736050946   58.05 0.6 False 58.0 1.0 402.213685833  "2013-10-02 08:24:00"
-1.27802669128 3.05685369386 1.0   True 56.5 0.0 439.581783393 42.4307202441 "2013-10-02 08:26:00"
-12.540406361 3.0109664603 1.0   True 57.0 0.0 455.15545945 46.3142003056 "2013-10-02 08:26:00"
-14.6123957766 2.60030199157 1.0   True 57.5 0.0 453.605877588 32.4151336171 "2013-10-02 08:26:00"
24.8616868973 9.84942985447 1.5   True 56.0 1.0 271.203688347 32.9340325427 "2013-10-02 08:26:00"
13.4065576285 1.99628143529 0.5   True 56.0 0.0 384.579505431 18.3428402609 "2013-10-02 08:26:00"
24.8616868973   55.36 1.69 False 55.5 2.0 340.056113374  "2013-10-02 08:26:00"
24.8616868973   56.35 0.68 False 56.5 1.0 349.096200665  "2013-10-02 08:26:00"
24.8616868973   56.35 1.68 False 56.5 2.0 351.65821022  "2013-10-02 08:26:00"
-6.26338194608 2.83258673538 0.5   True 57.0 0.0 412.736428791 40.3088050185 "2013-10-02 08:28:00"
20.5661414035 1.18179877029 1.0   True 56.0 0.0 379.083789057 7.36721084272 "2013-10-02 08:28:00"
-0.0969811038996 4.51892237546 0.5   True 56.5 0.0 492.341851045 73.7987732302 "2013-10-02 08:28:00"
20.5661414035   55.86 0.64 False 56.0 1.0 388.198478095  "2013-10-02 08:28:00"
-0.0969811038996   56.5 0.46 False 56.5 1.0 544.832232749  "2013-10-02 08:28:00"
-6.26338194608   57.77 -5.46 False 57.5 -3.0 2474.37645429  "2013-10-02 08:28:00"
